ssn	occupation	education	gender	salary
f131560804	other-worker	certificate-ii	m	65543
h158068051	engineering-worker	certificate-ii	m	73864
f179080669	other-technician	advance-diploma	f	99295
g189034063	automotive-worker	certificate-iv	m	57139
d136048901	other-worker	certificate-iii	f	66368
f105186309	construction-worker	certificate-ii	f	73959
f147906110	ict-technician	certificate-iii	f	114883
g130200376	ict-technician	bachelor-degree	f	121525
g107070002	cleaner	secondary-school	f	13477
c185307068	other-technician	certificate-iii	f	135556
e179300687	ict-technician	bachelor-degree	f	106171
i107054777	construction-worker	certificate-iii	f	63486
a107953540	carer	certificate-ii	f	49351
h167009497	legal-professional	doctoral-degree	f	127177
b178505603	factory-worker	secondary-school	f	19343
i160672804	other-service-worker	certificate-ii	f	58696
c188007568	carer	certificate-i	f	74214
i102188801	ict-technician	bachelor-degree	m	87940
g112048330	cleaner	senior-secondary-school	m	15407
a109052801	cleaner	senior-secondary-school	f	19637
d118783000	clerks	senior-secondary-school	f	36542
c108005329	other-technician	bachelor-degree	f	122077
g180195550	engineering-worker	certificate-ii	f	73474
h195600387	other-worker	diploma	f	64189
h105846680	secretary	senior-secondary-school	m	42210
h100528363	cleaner	senior-secondary-school	f	15133
g100558840	other-clerical-worker	senior-secondary-school	m	40868
i182250085	legal-professional	advance-diploma	f	146958
h143900388	manager	masters-degree	m	157863
f194810403	personal-assistant	senior-secondary-school	m	37487
b192070100	ict-technician	certificate-iv	f	144544
c112190420	general-manager	masters-degree	m	163166
e195503102	other-technician	advance-diploma	f	116654
c104202950	personal-services-worker	certificate-i	f	55954
f168830902	secretary	certificate-i	f	49956
i121130907	engineering-worker	certificate-iv	m	91256
g106104987	education-professional	bachelor-degree	f	143209
i109560720	automotive-worker	certificate-ii	f	98665
f160900748	other-clerical-worker	senior-secondary-school	f	48587
d197200971	construction-labourer	senior-secondary-school	m	17185
e140899005	health-professional	graduate-diploma	f	86578
c109594018	personal-assistant	certificate-i	m	37735
a101078101	art-media-professional	advance-diploma	f	109534
a106109308	ict-technician	advance-diploma	f	120444
c117711070	ict-technician	bachelor-degree	m	142435
d112100505	legal-professional	bachelor-degree	f	124874
a181302140	health-support-worker	certificate-ii	f	49568
c140310917	chief-executive	masters-degree	f	113240
e104077001	taxi-driver	senior-secondary-school	f	16934
c101382010	other-technician	diploma	m	75513
e106482091	ict-technician	bachelor-degree	f	149980
e107170659	other-technician	certificate-iv	f	139392
g100640411	ict-technician	certificate-iii	f	102794
a170863101	other-technician	certificate-iv	m	84895
h171013110	other-technician	bachelor-degree	f	95761
e122170102	taxi-driver	senior-secondary-school	f	13933
a100113242	personal-assistant	senior-secondary-school	f	47904
d145213108	part-time-worker	secondary-school	f	8033
g107714091	health-professional	bachelor-degree	f	142558
g115108946	other-clerical-worker	senior-secondary-school	f	42542
c157370311	machinary-driver	secondary-school	m	17595
a176107100	other-technician	certificate-iii	f	104164
e121110383	ict-professional	masters-degree	f	147691
h122212300	ict-technician	certificate-iii	f	89301
c121360216	personal-services-worker	certificate-ii	f	71283
b195218840	construction-worker	certificate-ii	m	61269
c121390629	other-technician	certificate-iv	f	124769
d189992051	automotive-worker	certificate-iii	f	76951
g191052013	ict-professional	bachelor-degree	f	123061
g123118072	art-media-professional	bachelor-degree	f	84771
g101396772	health-professional	graduate-certificate	f	135971
h110133153	ict-technician	bachelor-degree	f	144669
d136193390	health-professional	masters-degree	f	89043
b167013013	other-service-worker	certificate-i	f	59943
f113603145	personal-services-worker	certificate-i	m	78247
h163560310	art-media-professional	advance-diploma	f	120986
b199037414	health-professional	advance-diploma	f	126254
g161318320	health-support-worker	certificate-i	m	60427
f120193850	ict-technician	certificate-iii	f	135753
d130109366	casual-worker	secondary-school	f	6648
d159536110	other-technician	certificate-iv	f	135826
b183914011	construction-worker	certificate-iii	f	50447
d100431903	education-professional	bachelor-degree	m	146419
f104919270	engineering-worker	certificate-ii	f	54818
e144903081	clerical-worker	senior-secondary-school	f	32033
i103413863	health-professional	graduate-diploma	m	84786
a140721146	health-professional	masters-degree	m	99100
e110401540	personal-assistant	certificate-i	f	43346
e101400603	ict-technician	diploma	m	94329
c179024071	ict-professional	advance-diploma	f	126906
d141013498	part-time-worker	secondary-school	m	9614
i189914803	other-technician	diploma	f	112197
e107749601	machinary-driver	senior-secondary-school	m	12029
h104130539	other-technician	certificate-iv	f	91962
i141441890	other-worker	certificate-iii	f	73963
b171913840	ict-professional	graduate-diploma	f	120769
c107958162	taxi-driver	secondary-school	f	11774
f135050105	general-manager	graduate-certificate	m	174809
f137103504	other-worker	certificate-iii	f	84424
i110054280	general-manager	masters-degree	m	110018
f110454725	personal-assistant	certificate-i	m	31781
a106651486	health-professional	bachelor-degree	f	143624
d169509101	health-support-worker	certificate-i	f	78846
h135807715	ict-technician	diploma	f	149135
b115001047	personal-assistant	senior-secondary-school	m	47519
i193695100	ict-technician	diploma	f	120940
e197560201	ict-professional	advance-diploma	m	132241
g176441400	other-worker	certificate-iv	m	76215
e109148620	art-media-professional	graduate-diploma	f	147000
g101506142	automotive-worker	certificate-iv	f	91735
d113770316	other-worker	certificate-iii	f	73829
g193336100	construction-worker	certificate-ii	f	55872
f104868313	health-professional	advance-diploma	f	147670
b161006500	clerical-worker	certificate-i	f	35413
i167570170	machinary-driver	senior-secondary-school	m	14228
h160881681	chief-executive	doctoral-degree	m	159354
d180738301	ict-professional	bachelor-degree	f	143217
g132160709	ict-technician	certificate-iii	f	72308
i190016737	chief-executive	masters-degree	f	149166
g147440017	personal-services-worker	certificate-ii	m	35912
i117240103	personal-assistant	senior-secondary-school	f	37601
g111079224	other-technician	advance-diploma	f	93715
f165311710	carer	certificate-i	f	65418
e173213830	manager	masters-degree	f	109481
f174624011	construction-worker	diploma	m	75386
d147301502	chief-executive	masters-degree	f	193844
e171525701	legal-professional	advance-diploma	f	103406
a194170751	automotive-worker	certificate-iii	m	80410
a180907417	other-clerical-worker	certificate-i	m	32773
d193801113	other-technician	bachelor-degree	f	79645
h113183044	other-technician	certificate-iii	f	144742
g113108673	other-clerical-worker	senior-secondary-school	m	30448
f167044812	other-technician	advance-diploma	m	112984
f118969003	other-worker	diploma	f	65148
b129750101	carer	certificate-ii	m	65970
c115098658	general-manager	doctoral-degree	f	169603
h170041879	ict-technician	advance-diploma	f	144272
h170199082	other-technician	advance-diploma	f	123670
a192208611	construction-worker	diploma	f	88227
c101729941	legislator	graduate-diploma	f	196019
c194017949	health-support-worker	certificate-ii	f	39208
b129090691	ict-technician	diploma	f	98245
d105010200	looking-for-employment	secondary-school	f	3121
c131250304	health-support-worker	certificate-i	f	56748
h102262140	other-worker	certificate-iv	f	90476
a173250028	secretary	certificate-i	f	48833
f120101844	personal-services-worker	certificate-ii	m	64481
f121003520	other-service-worker	certificate-ii	f	55891
g152500166	ict-technician	certificate-iii	m	81792
a110828204	ict-technician	certificate-iv	m	110996
d116805202	other-technician	bachelor-degree	f	74102
i124175108	other-technician	certificate-iv	f	102058
h120719273	ict-technician	certificate-iv	m	95801
i171924260	ict-technician	certificate-iv	f	135730
h107642310	other-service-worker	certificate-i	f	47551
i118202202	construction-worker	diploma	f	85560
i181102687	manager	doctoral-degree	f	165295
g171398020	looking-for-employment	secondary-school	m	1790
h162891480	engineering-worker	certificate-iii	f	96202
b103722440	ict-professional	advance-diploma	f	106593
i176204012	education-professional	doctoral-degree	m	102535
h104810922	engineering-worker	certificate-ii	f	57312
d124212046	other-service-worker	certificate-ii	m	59797
g191492022	carer	certificate-i	m	45854
b112028657	taxi-driver	secondary-school	f	16859
a126391202	other-service-worker	certificate-i	m	32687
i160625422	construction-labourer	secondary-school	f	13449
b139428620	ict-technician	certificate-iii	m	72458
g102235026	clerical-worker	certificate-i	f	31321
c134202607	engineering-worker	certificate-iii	f	69011
h124537201	clerical-worker	certificate-i	m	32870
c184425280	construction-labourer	senior-secondary-school	f	15417
i106372622	other-technician	bachelor-degree	f	100380
c168221207	ict-technician	certificate-iv	f	76677
c172200229	other-service-worker	certificate-ii	m	71683
e130277238	health-professional	advance-diploma	f	115700
g160402729	automotive-worker	certificate-ii	f	99321
e163123009	ict-professional	graduate-diploma	m	100839
f113023210	clerks	certificate-i	f	49129
i135026204	automotive-worker	certificate-ii	f	87575
a170930322	ict-professional	advance-diploma	f	115490
f130920043	taxi-driver	senior-secondary-school	f	14403
g142065143	health-professional	bachelor-degree	f	122592
d126713094	casual-worker	secondary-school	f	7892
b176302257	ict-technician	certificate-iv	f	126001
h127027036	legal-professional	bachelor-degree	m	122149
a178132092	other-labourer	senior-secondary-school	f	13843
g131806062	clerical-worker	certificate-i	m	48800
a149322039	other-service-worker	certificate-ii	f	37695
c142304489	other-technician	diploma	m	138788
e102206484	ict-technician	certificate-iii	m	119225
c179400725	ict-technician	advance-diploma	m	88632
a117421606	clerks	certificate-i	m	31668
d130214335	other-technician	diploma	f	81497
d134796202	other-technician	certificate-iii	m	111790
c102401690	other-technician	advance-diploma	f	115699
i185705524	clerical-worker	certificate-i	m	45433
i190078249	other-technician	certificate-iii	m	117449
d182501220	other-technician	diploma	f	95737
d125950383	education-professional	advance-diploma	f	139796
d159027444	secretary	senior-secondary-school	m	48397
i152631820	taxi-driver	secondary-school	m	11745
e182250576	taxi-driver	senior-secondary-school	m	14825
b113192580	ict-technician	diploma	m	109604
f158205248	ict-technician	bachelor-degree	f	148489
e109602068	taxi-driver	senior-secondary-school	m	16758
i106166024	engineering-worker	certificate-iv	f	94900
c132466072	legal-professional	graduate-diploma	f	95356
g102037376	construction-worker	certificate-iii	f	53542
e161220075	health-professional	advance-diploma	f	102191
e192223660	other-technician	advance-diploma	f	86144
h106652523	other-clerical-worker	certificate-i	f	49211
f100720168	legislator	graduate-diploma	f	140664
c130652298	carer	certificate-ii	f	64456
f195632230	education-professional	bachelor-degree	f	105239
e110526709	looking-for-employment	secondary-school	f	3119
a123069057	ict-technician	bachelor-degree	f	127797
b130946720	construction-worker	certificate-iii	f	86947
i121970102	automotive-worker	certificate-ii	m	87583
c174121023	looking-for-employment	secondary-school	f	4622
d112620710	health-professional	bachelor-degree	f	137419
h107765432	carer	certificate-ii	f	40141
f177312109	other-technician	diploma	f	125343
b177320007	automotive-worker	diploma	m	60807
f120436772	secretary	certificate-i	f	31660
b127208759	education-professional	bachelor-degree	f	107254
e118580278	automotive-worker	certificate-iv	m	97497
h180292400	manager	masters-degree	m	191027
a160150862	factory-worker	senior-secondary-school	f	16289
c132304286	general-manager	graduate-certificate	f	189046
d166800722	legal-professional	bachelor-degree	f	125351
a125285800	taxi-driver	secondary-school	f	14196
e125306181	other-technician	bachelor-degree	f	98967
b160851823	ict-professional	bachelor-degree	m	106526
b188202373	other-service-worker	certificate-i	m	70708
f100118224	construction-labourer	senior-secondary-school	f	19170
c124710283	art-media-professional	doctoral-degree	f	137175
h108208748	other-service-worker	certificate-i	f	44210
e109094823	automotive-worker	certificate-ii	f	68368
d123206886	clerical-worker	certificate-i	m	30999
d128976102	other-technician	certificate-iv	f	138044
e195238706	ict-technician	advance-diploma	f	82876
a198392120	carer	certificate-i	f	58266
e166990324	machinary-driver	senior-secondary-school	f	10982
f197784203	education-professional	advance-diploma	f	103049
e197702997	ict-technician	certificate-iii	m	137460
c171880129	secretary	senior-secondary-school	m	44132
f191950082	other-technician	certificate-iv	m	138030
a108872980	farm-worker	senior-secondary-school	f	17713
f189660290	other-worker	certificate-iv	f	75160
i172009190	factory-worker	secondary-school	f	17926
e173901129	other-technician	certificate-iv	f	143707
b131900007	ict-technician	bachelor-degree	f	138963
a109052083	health-support-worker	certificate-ii	f	79555
c104830030	other-technician	bachelor-degree	f	86749
g151013503	personal-assistant	certificate-i	f	47134
h131800221	ict-technician	advance-diploma	m	70875
h150901366	clerical-worker	certificate-i	m	47613
h105101737	ict-technician	diploma	f	142884
e140386035	ict-technician	certificate-iii	m	113665
g103878070	other-worker	certificate-iii	f	76729
c100783815	other-technician	certificate-iv	f	110472
d105390406	other-technician	advance-diploma	f	102576
a158310003	manager	masters-degree	m	196462
g153311204	other-technician	diploma	m	88536
f182610523	secretary	certificate-i	m	48786
b133108560	construction-worker	certificate-iii	f	97022
a163021465	other-labourer	secondary-school	f	13814
b101534136	manager	graduate-certificate	f	108820
e110590535	art-media-professional	advance-diploma	f	92450
g120616703	automotive-worker	diploma	m	72858
g104371002	construction-labourer	senior-secondary-school	m	17509
b141329077	legal-professional	bachelor-degree	m	123155
e143417001	other-technician	certificate-iv	m	72047
d108817371	engineering-worker	diploma	f	54315
f183023146	ict-professional	bachelor-degree	m	105079
d115819903	health-professional	advance-diploma	f	81268
h103002492	legal-professional	bachelor-degree	f	128992
d173013012	construction-worker	certificate-ii	f	76544
h132001354	ict-professional	bachelor-degree	m	144518
f108385721	ict-technician	certificate-iii	f	116157
i162302392	engineering-worker	certificate-iv	f	72930
c104653952	ict-technician	certificate-iv	m	80334
f103050132	ict-technician	bachelor-degree	f	86241
a120835523	ict-technician	bachelor-degree	f	86687
e144502813	health-support-worker	certificate-ii	m	74275
i156276031	machinary-driver	secondary-school	m	19863
c127308566	chief-executive	masters-degree	f	137593
h170971372	health-professional	doctoral-degree	m	127367
d149021832	other-technician	diploma	f	141449
c121030395	secretary	certificate-i	f	33166
b103952983	machinary-driver	senior-secondary-school	f	12500
b103601332	other-technician	diploma	f	79772
a143730004	engineering-worker	diploma	f	98526
b130316519	other-technician	advance-diploma	f	120678
f165072332	automotive-worker	diploma	m	81646
a133399720	ict-technician	bachelor-degree	f	107104
b145433306	other-technician	certificate-iv	m	133272
i131083951	art-media-professional	doctoral-degree	m	80755
d168320932	clerical-worker	senior-secondary-school	f	41808
b189308237	ict-technician	certificate-iv	f	142880
a182320432	engineering-worker	certificate-iii	m	56402
c133088259	carer	certificate-i	m	59882
g135981400	cleaner	senior-secondary-school	f	15814
e147022130	ict-technician	diploma	f	134180
a139004735	ict-technician	bachelor-degree	f	137148
f103104761	ict-technician	diploma	m	101297
a197104013	art-media-professional	advance-diploma	m	119491
h109421439	art-media-professional	advance-diploma	m	87196
b143830241	manager	graduate-certificate	f	141035
e135314033	ict-technician	diploma	m	131601
c140034992	automotive-worker	certificate-iv	f	82147
d140643554	casual-worker	secondary-school	m	6762
d157341430	ict-technician	certificate-iii	f	141387
b101354134	ict-technician	diploma	f	101037
c118443097	ict-technician	advance-diploma	f	126783
d153650608	shop-assistent	secondary-school	f	9204
b171335230	chief-executive	graduate-diploma	m	119818
d146053505	farm-worker	secondary-school	f	16393
c185307340	education-professional	advance-diploma	f	106026
i193413590	other-technician	advance-diploma	f	145457
c150087530	clerical-worker	certificate-i	f	46910
d195037785	carer	certificate-i	m	58983
h166300652	ict-technician	bachelor-degree	m	128369
e126023577	ict-technician	diploma	f	92493
b150457693	other-technician	certificate-iii	f	125533
h125501538	art-media-professional	advance-diploma	f	133863
d105637986	ict-technician	certificate-iii	f	100171
c190591863	personal-services-worker	certificate-ii	m	74528
c160583037	ict-technician	bachelor-degree	m	148933
c158039568	education-professional	advance-diploma	f	84395
e155506913	looking-for-employment	secondary-school	f	4322
c138620012	general-manager	graduate-diploma	f	148737
f183612340	personal-services-worker	certificate-ii	m	64636
d106382639	legislator	graduate-diploma	f	153742
a133460562	other-clerical-worker	certificate-i	f	47751
a164996310	ict-professional	graduate-diploma	f	123329
b130806276	ict-technician	certificate-iv	f	134910
c136963880	education-professional	advance-diploma	f	112137
i137649310	chief-executive	graduate-certificate	m	116129
f161306783	legal-professional	bachelor-degree	f	139207
e158384670	other-technician	advance-diploma	m	139312
b168970364	clerical-worker	senior-secondary-school	f	35943
i199303370	health-professional	graduate-diploma	f	138086
g107832201	other-technician	certificate-iii	m	77420
d164730190	secretary	senior-secondary-school	f	48558
e177730361	ict-technician	diploma	m	97242
e130146719	other-technician	certificate-iii	f	131275
g150371007	other-technician	certificate-iii	m	126657
d100573887	ict-technician	bachelor-degree	f	129465
i187367402	chief-executive	doctoral-degree	m	137426
b133351085	education-professional	bachelor-degree	f	90910
f189808933	health-professional	advance-diploma	f	120654
f106851203	ict-technician	certificate-iii	f	93215
e107830324	secretary	certificate-i	f	45742
i186431087	health-support-worker	certificate-i	f	35169
b104868348	other-technician	bachelor-degree	f	71523
a197338608	taxi-driver	senior-secondary-school	f	14574
e160969130	art-media-professional	bachelor-degree	f	120291
e131783009	other-technician	bachelor-degree	f	123066
d189931403	ict-technician	bachelor-degree	f	129109
c128233920	automotive-worker	diploma	m	59267
b192385400	cleaner	senior-secondary-school	m	11618
f164343905	other-technician	bachelor-degree	f	76293
a110379049	education-professional	graduate-diploma	m	105033
d143379901	taxi-driver	senior-secondary-school	m	15720
h105779732	ict-technician	advance-diploma	m	147514
g140295934	automotive-worker	diploma	f	66998
a163432904	ict-technician	bachelor-degree	f	142605
f162097322	other-labourer	secondary-school	f	17130
d105947536	ict-professional	graduate-diploma	f	86135
f140065310	construction-worker	diploma	f	80791
c146400444	secretary	certificate-i	f	30959
c104040508	machinary-driver	senior-secondary-school	f	16143
h104450518	ict-technician	advance-diploma	f	138602
g144050440	legal-professional	advance-diploma	f	117799
e101049778	other-worker	certificate-ii	f	61467
f180104461	health-professional	masters-degree	m	105848
d135411071	other-service-worker	certificate-ii	m	32564
d154038411	taxi-driver	secondary-school	f	15211
b134001224	other-technician	certificate-iv	m	96344
b136994100	personal-assistant	certificate-i	m	49924
c171014034	legislator	graduate-certificate	f	170517
e108415201	health-professional	advance-diploma	m	115737
f122147880	ict-technician	certificate-iv	m	110614
e121083489	construction-worker	certificate-ii	f	86325
b125401359	health-support-worker	certificate-i	f	37201
c145089110	carer	certificate-ii	f	79798
e130028484	ict-professional	graduate-diploma	f	149402
e182270407	other-worker	certificate-ii	m	61574
e114001261	legal-professional	bachelor-degree	f	105052
c152011245	farm-worker	senior-secondary-school	m	14479
h152241046	farm-worker	senior-secondary-school	f	18503
b174036602	construction-worker	certificate-iv	f	51509
g147590032	engineering-worker	diploma	f	58642
e163440172	clerical-worker	senior-secondary-school	f	31801
d192342570	factory-worker	secondary-school	m	16999
i140236208	other-clerical-worker	certificate-i	f	35917
i126277402	construction-worker	certificate-iv	m	64049
a122584408	health-professional	bachelor-degree	m	147941
a141291005	ict-technician	certificate-iii	m	132094
e146296053	casual-worker	secondary-school	m	5875
i131504405	ict-technician	certificate-iii	f	135592
i111475307	engineering-worker	diploma	f	91391
e132034152	construction-worker	certificate-iii	f	70134
i143073346	taxi-driver	senior-secondary-school	f	14264
h154034840	construction-worker	certificate-iii	f	87265
g170374481	other-service-worker	certificate-ii	m	67954
d105534418	personal-assistant	certificate-i	m	40808
d187304865	looking-for-employment	secondary-school	f	4235
d169300504	other-technician	diploma	f	127142
f100423365	automotive-worker	certificate-iii	m	81399
d164280438	personal-services-worker	certificate-i	m	77200
f143733040	other-technician	diploma	m	111038
d108679341	clerical-worker	certificate-i	f	38582
f109934034	manager	graduate-diploma	f	169685
b144908804	carer	certificate-i	f	59062
a114451072	other-labourer	secondary-school	m	12130
d197746410	clerks	senior-secondary-school	f	43848
e162440806	manager	graduate-diploma	f	166715
e168634004	other-technician	certificate-iii	f	127904
e132197440	clerical-worker	certificate-i	f	45014
h108750444	ict-professional	bachelor-degree	f	143351
g108511445	legal-professional	bachelor-degree	f	122581
f186464504	ict-technician	bachelor-degree	f	72166
h119405470	general-manager	graduate-diploma	f	182610
b160608044	general-manager	masters-degree	m	180989
a167447075	personal-assistant	certificate-i	m	49849
f137400764	machinary-driver	senior-secondary-school	f	10512
g104156084	health-support-worker	certificate-i	f	39114
b104774497	other-clerical-worker	senior-secondary-school	f	33899
b138500334	other-technician	bachelor-degree	f	83141
i109335104	construction-worker	certificate-iii	f	50546
a101465555	other-clerical-worker	certificate-i	f	44647
a141596501	other-technician	bachelor-degree	f	99450
b130263454	construction-worker	certificate-iv	m	67447
i195413085	ict-technician	bachelor-degree	f	101574
c128163054	machinary-driver	senior-secondary-school	f	12358
h145781904	engineering-worker	diploma	f	81824
d182014195	other-service-worker	certificate-ii	m	77819
e185439504	engineering-worker	certificate-iii	f	93182
d125064760	other-worker	certificate-ii	f	64268
e165302714	automotive-worker	certificate-iv	m	95489
d146521032	other-clerical-worker	senior-secondary-school	f	32731
f157673410	automotive-worker	certificate-iii	f	99764
f168359014	ict-technician	bachelor-degree	m	71976
c162340276	ict-technician	certificate-iii	f	120979
c139008347	personal-assistant	senior-secondary-school	m	45352
g112703144	ict-technician	advance-diploma	m	140582
e120434171	manager	graduate-diploma	f	183286
i117187402	clerks	certificate-i	f	45071
e109745240	other-technician	bachelor-degree	m	96204
d100437351	machinary-driver	secondary-school	f	19952
d175420394	clerks	certificate-i	f	37907
h111410447	other-service-worker	certificate-ii	m	62855
f154002479	clerical-worker	senior-secondary-school	m	43467
c175740507	automotive-worker	diploma	f	60026
c178575046	health-professional	graduate-diploma	f	135240
d117410088	clerical-worker	senior-secondary-school	f	36597
b186187040	other-worker	certificate-iv	m	97411
e168548704	clerks	senior-secondary-school	m	47835
i107824914	general-manager	graduate-certificate	m	180497
c150481283	other-technician	bachelor-degree	f	108066
i163082459	other-technician	advance-diploma	m	111884
c120840759	taxi-driver	senior-secondary-school	m	18415
b173880024	other-technician	certificate-iii	f	107488
d146180033	other-technician	bachelor-degree	f	124759
h187502463	health-support-worker	certificate-i	m	44919
c141104898	other-technician	bachelor-degree	m	144413
g188054528	legal-professional	advance-diploma	f	115340
h144001991	other-technician	advance-diploma	m	85476
e161007491	other-technician	bachelor-degree	m	73491
c109409194	personal-assistant	senior-secondary-school	f	30237
f194820713	carer	certificate-ii	f	51055
c146071690	ict-technician	bachelor-degree	f	105218
g193303440	automotive-worker	certificate-iii	f	56744
f182495704	machinary-driver	senior-secondary-school	m	12171
f129364019	ict-technician	diploma	m	84856
c105602502	education-professional	graduate-certificate	f	105451
e108006505	other-service-worker	certificate-i	f	49529
d115002244	automotive-worker	certificate-iii	f	88480
f152407025	construction-worker	certificate-iii	f	91173
a101345350	carer	certificate-ii	f	76387
c105943430	taxi-driver	senior-secondary-school	f	19758
c150970532	health-support-worker	certificate-i	f	78428
b105046660	personal-services-worker	certificate-i	f	44901
b171005526	health-professional	graduate-diploma	m	84031
c150809508	ict-professional	graduate-certificate	f	125702
g106559209	ict-professional	graduate-certificate	m	124015
c111026085	education-professional	graduate-diploma	m	89773
c130115502	art-media-professional	bachelor-degree	f	117816
g150010466	taxi-driver	secondary-school	f	15467
e115480598	other-technician	bachelor-degree	f	142423
d110540525	casual-worker	secondary-school	f	7498
a110097555	health-professional	advance-diploma	f	91012
b150155813	ict-technician	advance-diploma	f	121842
c180135995	ict-professional	advance-diploma	f	88957
b136705018	other-worker	certificate-ii	m	61317
g105605617	other-technician	advance-diploma	m	124662
h156068144	automotive-worker	certificate-iii	f	77220
c118190435	ict-professional	bachelor-degree	f	86696
c115704591	carer	certificate-i	f	50693
i125194307	shop-assistent	secondary-school	f	5259
g169065281	clerical-worker	certificate-i	f	34034
f129250338	ict-technician	certificate-iii	m	103740
f150257240	health-support-worker	certificate-i	m	68743
h110820513	construction-worker	certificate-iv	m	96478
a132054263	machinary-driver	senior-secondary-school	m	13804
a138950234	automotive-worker	diploma	f	93608
b104412455	construction-worker	certificate-iii	f	81223
g152155140	art-media-professional	bachelor-degree	m	102559
d164255055	chief-executive	graduate-diploma	m	100066
h106442145	looking-for-employment	secondary-school	f	3441
b194504625	ict-technician	bachelor-degree	m	112909
f175223950	ict-technician	certificate-iv	m	142894
h172528509	other-technician	bachelor-degree	f	140525
g182205122	education-professional	graduate-diploma	m	98630
i149026805	carer	certificate-i	f	40914
e131853550	health-professional	bachelor-degree	f	117342
c192077135	ict-technician	certificate-iv	m	112874
i140312652	ict-technician	diploma	m	70540
i153805363	other-technician	bachelor-degree	f	105827
e135903836	other-technician	certificate-iii	m	106072
a145032074	art-media-professional	advance-diploma	m	122342
d148090354	personal-services-worker	certificate-ii	f	35024
f135503894	other-worker	certificate-ii	m	71338
b150754537	health-professional	masters-degree	f	135027
c133533605	construction-worker	diploma	f	54996
i173197095	automotive-worker	certificate-iii	f	63504
b101256583	taxi-driver	senior-secondary-school	f	17267
e145150050	other-technician	certificate-iv	f	146463
h155338104	health-support-worker	certificate-ii	f	66871
f100524447	engineering-worker	certificate-iii	f	55734
h106405440	legal-professional	bachelor-degree	f	140224
a160744522	construction-worker	diploma	f	79584
f120515347	ict-technician	certificate-iv	m	133799
